Fighter,Opponent,W/L,Method,Competition,Weight,Stage,Year
Alexander Trans,Gabriel Araujo,W,Katagatame,Nashville Open,O100KG,F,2022
Alexander Trans,Adolfo Suarez,W,Arm in Ezekiel,Nashville Open,ABS,4F,2022
Alexander Trans,Matheus Luna,W,Pts: 9x0,Nashville Open,ABS,SF,2022
Alexander Trans,Joao Cizeski,W,Armbar,Nashville Open,ABS,F,2022
Alexandre Cavaliere,Mica Galvao,L,DQ,Brasileiro,82KG,R1,2022
Alexandre de Jesus,Filipe Cesar,L,Arm in Ezekiel,World Champ.,82KG,R1,2022
Alexandre de Jesus,Ronaldo Junior,L,Referee Decision,EUG 4,82KG,SF,2022
Alexandre de Jesus,Miguel Curi,L,Pts: 0x0,Brasileiro NoGi,ABS,4F,2022
Alexandre de Jesus,Oliver Taza,L,Pts: 2x0,European NG,ABS,SF,2022
Alexandre de Jesus,Oliver Taza,L,Pts: 4x0,European NG,85KG,F,2022
Alexandre de Jesus,Sean Fisher,W,Wristlock,Atlanta SPO,82KG,4F,2022
Alexandre de Jesus,Carlos Neto,W,Pts: 8x2,Atlanta SPO,82KG,SF,2022
Alexandre de Jesus,Levi Jones,W,Referee Decision,Atlanta SPO,82KG,F,2022
Alexandre de Jesus,Lucas Gualberto,W,Pts: 3x0,EUG 4,82KG,4F,2022
Alexandre de Jesus,Pablo Raimundo,W,Pts: 5x2,Brasileiro NoGi,ABS,8F,2022
Alexandre de Jesus,Michael Neary,W,RNC,London FNGO,85KG,F,2022
Alexandre de Jesus,D. Margaritopoulos,W,Armbar,European NG,ABS,R1,2022
Alexandre de Jesus,Jakub Najdek,W,Points,European NG,ABS,R2,2022
Alexandre de Jesus,Eliot Kelly,W,Points,European NG,ABS,4F,2022
Alexandre de Jesus,Fabricio Pitittio,W,Armbar,European NG,85KG,8F,2022
Alexandre de Jesus,Jaakko Vilander,W,Points,European NG,85KG,4F,2022
Alexandre de Jesus,David Garmo,W,Points,European NG,85KG,SF,2022
Alexandre Molinaro,Fabricio Barbarotti,L,Omoplata,Atlanta WO,76KG,SF,2022
Alexandre Molinaro,Igor Feliz,L,Referee Decision,European Open,76KG,4F,2022
Alexandre Molinaro,Daniel Diniz,L,Pts: 4x0,Pan American,76KG,R2,2022
Alexandre Molinaro,Vinicius Pereira,L,Choke from back,Rio Fall Open,76KG,SF,2022
Alexandre Molinaro,Leo Silva,L,Pts: 2x2,World Champ.,76KG,R1,2022
Alexandre Molinaro,Carlos Neto,L,Bow and arrow,Austin SMO,82KG,SF,2022
Alexandre Molinaro,Gabriel Ferreira,L,Pts: 2x2,NoGi Worlds,73KG,8F,2022
Adam Wardziński,Renan Cruz,W,Pts: 2x2,Chicago SPO,100KG,F,2022
Elisabeth Clay,Amy Campo,L,Pts: 4x4,American Nat.,ABS,F,2022
Elisabeth Clay,Raquel Canuto,W,Pts: 4x0,American Nat.,69KG,F,2022
Alexandre Molinaro,Wellington Dias,W,Choke from back,Oklahoma Open,76KG,F,2022
Alexandre Molinaro,Edmund Kim,W,Pts: 2x0,Oklahoma NGO,79KG,SF,2022
Alexandre Molinaro,Victor Junqueira,W,RNC,Atlanta WO,76KG,4F,2022
Alexandre Molinaro,Avihai Balila,W,Pts: 8x4,European Open,76KG,R1,2022
Alexandre Molinaro,Italo Lins,W,Pts: 6x4,Dallas Open,76KG,4F,2022
Alexandre Molinaro,Matheus Galvao,W,RNC,Dallas Open,76KG,SF,2022
Alexandre Molinaro,Pedro Faustino,W,Pts: 2x0,Dallas NGO,79KG,4F,2022
Alexandre Molinaro,Alexander Seaver,W,N/A,Indianapolis Open,76KG,F,2022
Alexandre Molinaro,Rodrigo Gortari,W,Points,Indianapolis NGO,73KG,F,2022
Alexandre Molinaro,Thiago Andrade,W,Pts: 14x0,Rio Fall Open,76KG,8F,2022
Alexandre Molinaro,Luis Ribas,W,Choke from back,Rio Fall Open,76KG,4F,2022
Elisabeth Clay,Luciana Mota,W,Pts: 2x2,American Nat.,ABS,SF,2022
Alexandre Molinaro,Shawn Hoehne,W,Pts: 2x0,American NGN,ABS,4F,2022
Alexandre Ribeiro,Harryson Pereira,L,Pts: 2x0,World Champ.,94KG,8F,2022
Alex Enriquez,Paige Ivette,L,Darce choke,SUBVERSIV 7,ABS,4F,2022
Alex Enriquez,Talita Alencar,W,Referee Decision,F2W 192,61KG,SPF,2022
Alex Enriquez,Nekiaya Jackson,W,Triangle,Sapateiro,N/A,SPF,2022
Alex Enriquez,Ana Mayordomo,W,RNC,SOT Shore,56KG,N/A,2022
Alex Enriquez,Jessica Sanchez,W,Omoplata,SOT Shore,56KG,N/A,2022
Alex Enriquez,Sophia Cassella,W,Pts: 2x0,SOT Shore,56KG,N/A,2022
Alex Enriquez,Ashley Nicole,W,Pts: 22x0,Atlanta SPNGO,61KG,SF,2022
Alex Enriquez,Joanie Chamberlain,W,Guillotine,Atlanta SPNGO,61KG,F,2022
Alex Enriquez,Julia Ramsden,W,Baratoplata,Atlanta SPNGO,ABS,F,2022
Alex Enriquez,Savannah Wright,W,RNC,Finishers Open,68KG,SF,2022
Alex Enriquez,Ansley Cox,W,RNC,Finishers Open,68KG,F,2022
