Fighter,Opponent,W/L,Method,Competition,Weight,Stage,Year,Decided by Points,Point Diff
Alex Munis,Wellington Luis,L,2x2,Rio Fall Open,88,SF,2022,1.0,0.0
Alex Munis,Karol Kania,W,2x0,Grand Slam LDN,85,8F,2022,1.0,2.0
Alex Munis,Fausto Godoy,W,3x1,Grand Slam LDN,85,4F,2022,1.0,2.0
Alex Munis,Adam Bradley,W,Referee Decision,Pan American,88,R1,2022,0.0,
Alex Munis,Vital Neto,W,4x2,Rio Fall Open,88,4F,2022,1.0,2.0
Pedro Elias,Caique Honorio,W,Armbar,Rio SMO,94,4F,2022,0.0,
Alex Nguyen,Sophia Casella,L,EBI/OT,Finishers Only,52,F,2022,0.0,
Alex Nguyen,Lauren Sears,W,Armbar,Finishers Only,52,SPF,2022,0.0,
Alex Nguyen,Christina Kruse,W,RNC,Finishers Only,52,R1,2022,0.0,
Alex Nguyen,Liliana Ramos,W,Points,Finishers Only,52,4F,2022,1.0,
Alex Nguyen,Lauren Sears,W,Armbar,Finishers Only,52,SF,2022,0.0,
Alex Nguyen,Jessica Crane,W,RNC,Toro Cup,,SPF,2022,0.0,
Alex Nguyen,Sophia Cassella,W,Referee Decision,Fury Grappling,,SPF,2022,0.0,
Alex Nguyen,Olivia Beeskau,W,RNC,Midwest F7,56,4F,2022,0.0,
Alex Nguyen,Tam Dang,W,RNC,Midwest F9,52,4F,2022,0.0,
Alex Nguyen,Trinity Pun,W,Armlock,Midwest F7,56,F,2022,0.0,
Alex Nguyen,Brittany Way,W,EBI/OT,Midwest F9,52,F,2022,0.0,
Alex Nguyen,Chelsea Mapa,W,EBI/OT,Halloween Havoc,,SPF,2022,0.0,
Alex Nguyen,Jessica Crane,W,RNC,NoGi Worlds,51,F,2022,0.0,
Alexander Trans,Gabriel Araujo,W,Katagatame,Nashville Open,100,F,2022,0.0,
Alexander Trans,Adolfo Suarez,W,Arm in Ezekiel,Nashville Open,ABS,4F,2022,0.0,
Alexander Trans,Matheus Luna,W,9x0,Nashville Open,ABS,SF,2022,1.0,9.0
Alexander Trans,Joao Cizeski,W,Armbar,Nashville Open,ABS,F,2022,0.0,
Alexandre Cavaliere,Mica Galvao,L,DQ,Brasileiro,82,R1,2022,0.0,
Alexandre de Jesus,Filipe Cesar,L,Arm in Ezekiel,World Champ.,82,R1,2022,0.0,
Alexandre de Jesus,Ronaldo Junior,L,Referee Decision,EUG 4,82,SF,2022,0.0,
Alexandre de Jesus,Miguel Curi,L,0x0,Brasileiro NoGi,ABS,4F,2022,1.0,0.0
Alexandre de Jesus,Oliver Taza,L,2x0,European NG,ABS,SF,2022,1.0,2.0
Alexandre de Jesus,Oliver Taza,L,4x0,European NG,85,F,2022,1.0,4.0
Alexandre de Jesus,Sean Fisher,W,Wristlock,Atlanta SPO,82,4F,2022,0.0,
Alexandre de Jesus,Carlos Neto,W,8x2,Atlanta SPO,82,SF,2022,1.0,6.0
Alexandre de Jesus,Levi Jones,W,Referee Decision,Atlanta SPO,82,F,2022,0.0,
Alexandre de Jesus,Lucas Gualberto,W,3x0,EUG 4,82,4F,2022,1.0,3.0
Alexandre de Jesus,Pablo Raimundo,W,5x2,Brasileiro NoGi,ABS,8F,2022,1.0,3.0
Alexandre de Jesus,Michael Neary,W,RNC,London FNGO,85,F,2022,0.0,
Alexandre de Jesus,D. Margaritopoulos,W,Armbar,European NG,ABS,R1,2022,0.0,
Alexandre de Jesus,Jakub Najdek,W,Points,European NG,ABS,R2,2022,1.0,
Alexandre de Jesus,Eliot Kelly,W,Points,European NG,ABS,4F,2022,1.0,
Alexandre de Jesus,Fabricio Pitittio,W,Armbar,European NG,85,8F,2022,0.0,
Alexandre de Jesus,Jaakko Vilander,W,Points,European NG,85,4F,2022,1.0,
Alexandre de Jesus,David Garmo,W,Points,European NG,85,SF,2022,1.0,
Alexandre Molinaro,Fabricio Barbarotti,L,Omoplata,Atlanta WO,76,SF,2022,0.0,
Alexandre Molinaro,Igor Feliz,L,Referee Decision,European Open,76,4F,2022,0.0,
Alexandre Molinaro,Daniel Diniz,L,4x0,Pan American,76,R2,2022,1.0,4.0
Alexandre Molinaro,Vinicius Pereira,L,Choke from back,Rio Fall Open,76,SF,2022,0.0,
Alexandre Molinaro,Leo Silva,L,2x2,World Champ.,76,R1,2022,1.0,0.0
Alexandre Molinaro,Carlos Neto,L,Bow and arrow,Austin SMO,82,SF,2022,0.0,
Alexandre Molinaro,Gabriel Ferreira,L,2x2,NoGi Worlds,73,8F,2022,1.0,0.0
Adam Wardziński,Renan Cruz,W,2x2,Chicago SPO,100,F,2022,1.0,0.0
Elisabeth Clay,Amy Campo,L,4x4,American Nat.,ABS,F,2022,1.0,0.0
Elisabeth Clay,Raquel Canuto,W,4x0,American Nat.,69,F,2022,1.0,4.0
Alexandre Molinaro,Wellington Dias,W,Choke from back,Oklahoma Open,76,F,2022,0.0,
Alexandre Molinaro,Edmund Kim,W,2x0,Oklahoma NGO,79,SF,2022,1.0,2.0
Alexandre Molinaro,Victor Junqueira,W,RNC,Atlanta WO,76,4F,2022,0.0,
Alexandre Molinaro,Avihai Balila,W,8x4,European Open,76,R1,2022,1.0,4.0
Alexandre Molinaro,Italo Lins,W,6x4,Dallas Open,76,4F,2022,1.0,2.0
Alexandre Molinaro,Matheus Galvao,W,RNC,Dallas Open,76,SF,2022,0.0,
Alexandre Molinaro,Pedro Faustino,W,2x0,Dallas NGO,79,4F,2022,1.0,2.0
Alexandre Molinaro,Alexander Seaver,W,,Indianapolis Open,76,F,2022,0.0,
Alexandre Molinaro,Rodrigo Gortari,W,Points,Indianapolis NGO,73,F,2022,1.0,
Alexandre Molinaro,Thiago Andrade,W,14x0,Rio Fall Open,76,8F,2022,1.0,14.0
Alexandre Molinaro,Luis Ribas,W,Choke from back,Rio Fall Open,76,4F,2022,0.0,
Elisabeth Clay,Luciana Mota,W,2x2,American Nat.,ABS,SF,2022,1.0,0.0
Alexandre Molinaro,Shawn Hoehne,W,2x0,American NGN,ABS,4F,2022,1.0,2.0
Alexandre Ribeiro,Harryson Pereira,L,2x0,World Champ.,94,8F,2022,1.0,2.0
Alex Enriquez,Paige Ivette,L,Darce choke,SUBVERSIV 7,ABS,4F,2022,0.0,
Alex Enriquez,Talita Alencar,W,Referee Decision,F2W 192,61,SPF,2022,0.0,
Alex Enriquez,Nekiaya Jackson,W,Triangle,Sapateiro,,SPF,2022,0.0,
Alex Enriquez,Ana Mayordomo,W,RNC,SOT Shore,56,,2022,0.0,
